fact_unit,2014-04-30,2014-07-30,2014-10-30,2015-02-27,2015-04-30,2015-07-30,2015-10-29,2016-02-26,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-20,2018-04-26,2018-07-26,2018-10-25,2019-02-19,2019-04-25,2019-07-25,2019-10-24,2020-02-18,2020-04-23,2020-07-23,2020-10-22,2021-02-16,2021-04-22,2021-07-22,2021-10-21,2022-02-15,2022-04-26,2022-07-28,2022-10-27,2023-02-22,2023-04-26,2023-07-26,2023-10-31,2024-02-20,2024-04-25,2024-07-24,2024-10-24,2025-02-18,2025-04-24,2025-07-24,2025-10-23
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,329800000.0,,,,321800000.0,,,,283300000.0,,,,395600000.0,,,,412800000.0,,,
AccountsPayableCurrent / USD,211300000.0,211300000.0,211300000.0,211300000.0,249500000.0,249500000.0,175600000.0,175600000.0,175100000.0,175100000.0,175100000.0,175100000.0,179900000.0,179900000.0,179900000.0,179900000.0,188300000.0,188300000.0,188300000.0,188300000.0,235000000.0,235000000.0,235000000.0,235000000.0,221000000.0,221000000.0,221000000.0,221000000.0,220400000.0,220400000.0,220400000.0,220400000.0,259100000.0,259100000.0,259100000.0,259100000.0,280700000.0,280700000.0,280700000.0,280700000.0,259200000.0,259200000.0,259200000.0,259200000.0,258000000.0,258000000.0,258000000.0
AccrualForEnvironmentalLossContingencies / USD,10800000.0,10800000.0,10800000.0,10800000.0,8800000.0,8800000.0,8800000.0,8800000.0,15200000.0,15200000.0,15200000.0,15200000.0,30600000.0,30600000.0,30600000.0,30600000.0,28900000.0,28900000.0,28900000.0,28900000.0,22600000.0,22600000.0,22600000.0,22600000.0,19300000.0,19300000.0,19300000.0,19300000.0,21100000.0,21100000.0,21100000.0,21100000.0,16400000.0,16400000.0,16400000.0,16400000.0,24100000.0,24100000.0,24100000.0,24100000.0,20200000.0,20200000.0,20200000.0,20200000.0,17800000.0,17800000.0,17800000.0
AccruedEnvironmentalLossContingenciesCurrent / USD,4200000.0,4200000.0,4200000.0,4200000.0,2200000.0,2200000.0,2200000.0,2200000.0,3700000.0,3700000.0,3700000.0,3700000.0,6100000.0,6100000.0,6100000.0,6100000.0,12600000.0,12600000.0,12600000.0,12600000.0,5600000.0,5600000.0,5600000.0,5600000.0,6200000.0,6200000.0,6200000.0,6200000.0,6100000.0,6100000.0,6100000.0,6100000.0,3700000.0,3700000.0,3700000.0,3700000.0,3900000.0,3900000.0,3900000.0,3900000.0,3600000.0,3600000.0,3600000.0,3600000.0,2400000.0,2400000.0,2400000.0
AccruedLiabilitiesCurrent / USD,207300000.0,207300000.0,207300000.0,111500000.0,232200000.0,232200000.0,203800000.0,98800000.0,206400000.0,206400000.0,206400000.0,124900000.0,201500000.0,201500000.0,201500000.0,117800000.0,237500000.0,237500000.0,237500000.0,134600000.0,250500000.0,250500000.0,250500000.0,135000000.0,285900000.0,285900000.0,285900000.0,174700000.0,293700000.0,293700000.0,293700000.0,189400000.0,329500000.0,329500000.0,329500000.0,199900000.0,410300000.0,410300000.0,410300000.0,247900000.0,407900000.0,407900000.0,407900000.0,258200000.0,417000000.0,417000000.0,417000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,366200000.0,,,,372600000.0,,,,391700000.0,,,,413800000.0,,,,455700000.0,,,,472100000.0,,,,494600000.0,,,,535200000.0,,,,544000000.0,,,,566900000.0,,,,603300000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-7700000.0,-7700000.0,-7700000.0,-29100000.0,-96700000.0,-96700000.0,-96700000.0,-7700000.0,-148200000.0,-148200000.0,-148200000.0,-96700000.0,-232200000.0,-232200000.0,-232200000.0,-148200000.0,-152900000.0,-152900000.0,-152900000.0,-232200000.0,-223500000.0,-152900000.0,-152900000.0,-264300000.0,-223500000.0,-223500000.0,-223500000.0,-152900000.0,-218600000.0,-218600000.0,-218600000.0,-223500000.0,-157100000.0,-157100000.0,-157100000.0,-218600000.0,-194400000.0,-194400000.0,-194400000.0,-157100000.0,-285800000.0,-285800000.0,-285800000.0,-194400000.0,-261500000.0,-261500000.0,-261500000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,9100000.0,9100000.0,9100000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900000.0,13900000.0,13900000.0,13900000.0,,0.0,,0.0,,,0.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,3400000.0,6500000.0,9700000.0,5500000.0,3400000.0,6500000.0,9700000.0,5500000.0,3600000.0,6900000.0,10300000.0,13100000.0,4600000.0,8800000.0,,14600000.0,5000000.0,9000000.0,12800000.0,16600000.0,6000000.0,6000000.0,6000000.0,15800000.0,7100000.0,7100000.0,7100000.0,22400000.0,12200000.0,12200000.0,12200000.0,26500000.0,4400000.0,4400000.0,4400000.0,24800000.0,7500000.0,7500000.0,7500000.0,25800000.0,5700000.0,5700000.0,5700000.0,21400000.0,14800000.0,14800000.0,14800000.0
AllocatedShareBasedCompensationExpense / USD,1800000.0,3900000.0,5600000.0,6300000.0,3500000.0,7000000.0,10200000.0,8400000.0,4000000.0,7400000.0,10200000.0,14000000.0,4800000.0,9200000.0,14200000.0,14800000.0,6100000.0,10700000.0,15100000.0,17400000.0,6600000.0,12100000.0,17400000.0,18900000.0,10100000.0,14800000.0,18400000.0,18800000.0,7400000.0,11200000.0,17200000.0,23600000.0,10100000.0,16400000.0,19500000.0,23200000.0,11800000.0,15900000.0,20000000.0,23400000.0,8800000.0,14400000.0,20300000.0,24500000.0,9600000.0,16100000.0,22100000.0
AllocatedShareBasedCompensationExpenseNetOfTax / USD,1100000.0,2400000.0,3500000.0,3900000.0,2200000.0,4700000.0,6600000.0,5200000.0,2700000.0,4900000.0,6800000.0,9300000.0,3400000.0,6500000.0,10000000.0,10400000.0,4100000.0,7200000.0,10100000.0,11800000.0,6100000.0,11200000.0,15500000.0,12500000.0,8900000.0,13000000.0,16100000.0,16900000.0,7000000.0,9800000.0,15000000.0,20600000.0,9000000.0,14400000.0,17100000.0,20300000.0,10600000.0,14200000.0,17800000.0,20800000.0,7600000.0,12500000.0,17800000.0,21800000.0,8700000.0,14500000.0,19900000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,5500000.0,,,,3200000.0,,,,3800000.0,,,,2700000.0,,,,2800000.0,,,,3300000.0,,,,5600000.0,,,,6200000.0,,,,5400000.0,,,,6000000.0,,,,14000000.0,,,
AmortizationOfIntangibleAssets / USD,2500000.0,4700000.0,7100000.0,9500000.0,2500000.0,4900000.0,7200000.0,9500000.0,1800000.0,3800000.0,6600000.0,9500000.0,5000000.0,10200000.0,15500000.0,11900000.0,5200000.0,10600000.0,16400000.0,20500000.0,10100000.0,20800000.0,28600000.0,22100000.0,7900000.0,15700000.0,23300000.0,36300000.0,7700000.0,15200000.0,23200000.0,31200000.0,8100000.0,15900000.0,25200000.0,31500000.0,8200000.0,16100000.0,32600000.0,34000000.0,15800000.0,30900000.0,46600000.0,49400000.0,15200000.0,31800000.0,48000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,300000.0,,400000.0,400000.0,300000.0,400000.0,400000.0,200000.0,,400000.0,100000.0,100000.0,100000.0,100000.0,200000.0,100000.0,100000.0,200000.0,200000.0,200000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,200000.0,100000.0,100000.0,300000.0,300000.0,500000.0,500000.0,500000.0,500000.0,600000.0,500000.0,500000.0,500000.0,600000.0,600000.0,300000.0,300000.0,300000.0
Assets / USD,1979900000.0,1979900000.0,1979900000.0,2000600000.0,2015900000.0,2015900000.0,2015900000.0,2015900000.0,2263000000.0,2263000000.0,2263000000.0,2263000000.0,2247400000.0,2247400000.0,2247400000.0,2263000000.0,2542000000.0,2542000000.0,2542000000.0,2247400000.0,2810200000.0,2810200000.0,2810200000.0,2542000000.0,2967200000.0,2967200000.0,2967200000.0,2810200000.0,3069400000.0,3069400000.0,3069400000.0,2967200000.0,3051000000.0,3051000000.0,3051000000.0,3069400000.0,3991200000.0,3991200000.0,3991200000.0,3051000000.0,4311500000.0,4311500000.0,4311500000.0,3991200000.0,4487800000.0,4487800000.0,4487800000.0
AssetsCurrent / USD,923200000.0,926000000.0,926000000.0,946800000.0,973800000.0,973800000.0,1001700000.0,1001700000.0,735100000.0,735100000.0,735100000.0,735100000.0,829300000.0,829300000.0,829300000.0,829300000.0,1032700000.0,1032700000.0,1032700000.0,1032700000.0,931600000.0,931600000.0,931600000.0,931600000.0,1001800000.0,1001800000.0,1001800000.0,1001800000.0,1145000000.0,1145000000.0,1145000000.0,1145000000.0,1117600000.0,1117600000.0,1117600000.0,1117600000.0,1214600000.0,1214600000.0,1214600000.0,1214600000.0,1360900000.0,1360900000.0,1360900000.0,1360900000.0,1422300000.0,1422300000.0,1422300000.0
AssetsFairValueDisclosure / USD,,,,,,,,,,,,,,,,,,,,,,22100000.0,22100000.0,22100000.0,18500000.0,18500000.0,18500000.0,18500000.0,25100000.0,25100000.0,25100000.0,25100000.0,24500000.0,24500000.0,24500000.0,24500000.0,19900000.0,19900000.0,19900000.0,19900000.0,18000000.0,18000000.0,18000000.0,18000000.0,17100000.0,17100000.0,17100000.0
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts / USD,,,,,,,,,,,,,,,,4700000.0,,,,4700000.0,,,,4700000.0,,,,10000000.0,,,,2000000.0,,,,2300000.0,,,,4400000.0,,,,30500000.0,,,
BusinessCombinationConsiderationTransferred1 / USD,,,,,,,,,,,,,,,,,,,,8300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,65000000.0,628400000.0
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300000.0,,14300000.0,30300000.0
BusinessCombinationContingentConsiderationLiability / USD,,,,,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,10300000.0,10500000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70500000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147500000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147500000.0,,130100000.0,132100000.0
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,,,,,14400000.0,,,,16600000.0,,,,14300000.0,,,,15400000.0,,,,14500000.0,,,,13500000.0,,,,11500000.0,,,,12300000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,317500000.0,317500000.0,317500000.0,376800000.0,227400000.0,227400000.0,227400000.0,317500000.0,290500000.0,290500000.0,290500000.0,227400000.0,199700000.0,199700000.0,199700000.0,290500000.0,312400000.0,312400000.0,466200000.0,466200000.0,283800000.0,283800000.0,283800000.0,283800000.0,355300000.0,355300000.0,355300000.0,355300000.0,480400000.0,480400000.0,480400000.0,480400000.0,397900000.0,397900000.0,397900000.0,397900000.0,288000000.0,288000000.0,288000000.0,288000000.0,468100000.0,468100000.0,468100000.0,468100000.0,503800000.0,503800000.0,503800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,312400000.0,199700000.0,466200000.0,466200000.0,466200000.0,312400000.0,290600000.0,290600000.0,290600000.0,466200000.0,358700000.0,358700000.0,358700000.0,290600000.0,480400000.0,480400000.0,480400000.0,358700000.0,397900000.0,397900000.0,397900000.0,480400000.0,288000000.0,288000000.0,288000000.0,397900000.0,468100000.0,468100000.0,468100000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,22500000.0,112700000.0,-314400000.0,-276600000.0,-269700000.0,153800000.0,-130000000.0,-129400000.0,-54300000.0,-175600000.0,-110000000.0,-54400000.0,72100000.0,68100000.0,-86100000.0,-20200000.0,23500000.0,121700000.0,-92800000.0,521700000.0,-115700000.0,-82500000.0,4800000.0,34600000.0,76300000.0,-109900000.0,-76300000.0,279400000.0,410800000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.27,0.84,0.32,0.32,0.32,1.08,0.36,0.36,0.36,1.28,0.41,0.41,0.41,1.44,0.45,0.45,0.45,1.64,0.48,0.48,0.48
CommonStockParOrStatedValuePerShare / USD/shares,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,,,,,,,,,,,400000000.0,,,400000000.0,400000000.0,,,,400000000.0,,,,400000000.0,,,,400000000.0,,,,400000000.0,,,,400000000.0,,,,400000000.0,,,,400000000.0,,,
CommonStockSharesIssued / shares,,,,,,,,,,,,,,,95273927.0,,,,,,,,,,92723682.0,92723682.0,92723682.0,92723682.0,91212741.0,91212741.0,91212741.0,91212741.0,88215625.0,88215625.0,88215625.0,88215625.0,87852777.0,87852777.0,87852777.0,87852777.0,87504673.0,87504673.0,87504673.0,87504673.0,86254744.0,86254744.0,86254744.0
CommonStockSharesOutstanding / shares,,,,,,,,,,,,,,,,,,,,,,,,,92723682.0,92723682.0,92723682.0,92723682.0,91212741.0,91212741.0,91212741.0,91212741.0,88215625.0,88215625.0,88215625.0,88215625.0,87852777.0,87852777.0,87852777.0,87852777.0,87504673.0,87504673.0,87504673.0,87504673.0,86254744.0,86254744.0,86254744.0
CommonStockValue / USD,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0,900000.0
ComprehensiveIncomeNetOfTax / USD,20200000.0,90400000.0,-27100000.0,241500000.0,22600000.0,71600000.0,106900000.0,-56700000.0,15000000.0,84400000.0,55600000.0,123700000.0,84300000.0,153700000.0,169700000.0,69800000.0,81200000.0,233600000.0,345500000.0,197000000.0,98300000.0,163000000.0,266900000.0,391100000.0,64900000.0,179900000.0,271600000.0,374000000.0,-32400000.0,61700000.0,232800000.0,406700000.0,76000000.0,205100000.0,326300000.0,375800000.0,72000000.0,137900000.0,184600000.0,445700000.0,133700000.0,284500000.0,410900000.0,366600000.0,99800000.0,250100000.0,465600000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,2000000.0,4500000.0,14800000.0,6200000.0,1000000.0,4500000.0,10100000.0,13300000.0,-1700000.0,-600000.0,-900000.0,-3300000.0,2600000.0,2200000.0,2400000.0,-900000.0,500000.0,1200000.0,2000000.0,1700000.0,1200000.0,-1000000.0,-1600000.0,2800000.0,700000.0,200000.0,-700000.0,900000.0,-500000.0,-300000.0,0.0,200000.0,200000.0,400000.0,400000.0,500000.0,100000.0,-400000.0,-800000.0,400000.0,200000.0,-700000.0,100000.0,-400000.0,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,22200000.0,94900000.0,-12300000.0,247700000.0,23600000.0,76100000.0,117000000.0,-43400000.0,13300000.0,83800000.0,54700000.0,120400000.0,86900000.0,155900000.0,172100000.0,68900000.0,81700000.0,234800000.0,347500000.0,198700000.0,99500000.0,162000000.0,265300000.0,393900000.0,65600000.0,180100000.0,270900000.0,374900000.0,-32900000.0,61400000.0,232800000.0,406900000.0,76200000.0,205500000.0,326700000.0,376300000.0,72100000.0,137500000.0,183800000.0,446100000.0,133900000.0,283800000.0,411000000.0,366200000.0,,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200000.0,,,
CostOfGoodsAndServicesSold / USD,287200000.0,592400000.0,883000000.0,1197700000.0,274400000.0,579900000.0,890000000.0,1208100000.0,271600000.0,569300000.0,873800000.0,1264600000.0,286000000.0,603500000.0,921100000.0,1199000000.0,307600000.0,653300000.0,988200000.0,1248300000.0,355300000.0,754400000.0,1156500000.0,1335300000.0,378100000.0,788600000.0,1201400000.0,1558400000.0,381600000.0,724500000.0,1133700000.0,1601700000.0,396900000.0,823300000.0,1239800000.0,1541100000.0,434900000.0,893000000.0,1438700000.0,1662500000.0,532000000.0,1042600000.0,1557200000.0,1949500000.0,502500000.0,1039800000.0,1574800000.0
CurrentIncomeTaxExpenseBenefit / USD,,,,139900000.0,,,,156100000.0,,,,67000000.0,,,,56900000.0,,,,57600000.0,,,,93800000.0,,,,104500000.0,,,,103300000.0,,,,75300000.0,,,,84500000.0,,,,127500000.0,,,
DebtCurrent / USD,71900000.0,71900000.0,71900000.0,71900000.0,49600000.0,49600000.0,49600000.0,49600000.0,65600000.0,65600000.0,65600000.0,65600000.0,48200000.0,48200000.0,48200000.0,48200000.0,35000000.0,35000000.0,35000000.0,35000000.0,35300000.0,35300000.0,35300000.0,35300000.0,100000.0,100000.0,100000.0,100000.0,200000.0,200000.0,200000.0,200000.0,12600000.0,12600000.0,12600000.0,12600000.0,12600000.0,12600000.0,12600000.0,12600000.0,412600000.0,412600000.0,412600000.0,412600000.0,21900000.0,21900000.0,21900000.0
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,1492300000.0,1492300000.0,1492300000.0,1492300000.0,1457500000.0,1457500000.0,1457500000.0,1457500000.0,1439500000.0,1439500000.0,1439500000.0,1439500000.0,1439400000.0,1439400000.0,1439400000.0,1439400000.0,1450300000.0,1450300000.0,1450300000.0,1450300000.0,2106700000.0,2106700000.0,2106700000.0,2106700000.0,2025100000.0,2025100000.0,2025100000.0,2025100000.0,2012500000.0,2012500000.0,2012500000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200000.0,8200000.0,8200000.0,12200000.0,12200000.0,12200000.0,12200000.0,10100000.0,10100000.0,10100000.0,10100000.0,13000000.0,13000000.0,13000000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,8600000.0,,,,14800000.0,,,,8700000.0,,,,12700000.0,,,,10800000.0,,,,11300000.0,,,
DeferredCompensationLiabilityCurrentAndNoncurrent / USD,,,,12800000.0,,,,15500000.0,,,,15500000.0,,,,16800000.0,,,,15100000.0,,19100000.0,19100000.0,15100000.0,23100000.0,23100000.0,23100000.0,17400000.0,25100000.0,25100000.0,25100000.0,18100000.0,25900000.0,25900000.0,25900000.0,18200000.0,20300000.0,20300000.0,20300000.0,13800000.0,18200000.0,18200000.0,18200000.0,13900000.0,17400000.0,17400000.0,17400000.0
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,112500000.0,,,,126700000.0,,,,154500000.0,,,,227600000.0,,,,292900000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,0.0,-3600000.0,,,,-2300000.0,,,,6200000.0,,,,-2300000.0,,,,6200000.0,,,,25200000.0,,,,-64700000.0,,,,-30200000.0,,,,-24400000.0,,,,-43800000.0,,,,-71300000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,,100800000.0,,,,119800000.0,,,,115200000.0,,,,134600000.0,,,,147500000.0,,,,157700000.0,,,,135100000.0,,,,145000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,115900000.0,,,,107800000.0,,,,105700000.0,,,,100800000.0,,,,101600000.0,,,,93600000.0,,,
DeferredRevenue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300000.0,27200000.0,27200000.0,,33200000.0,33200000.0,33200000.0
DeferredTaxAssetsGross / USD,,,,164800000.0,,,,155000000.0,,,,243600000.0,,,,310700000.0,,,,375700000.0,,,,480000000.0,,,,418900000.0,,,,465300000.0,,,,515700000.0,,,,572300000.0,,,,667400000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,75600000.0,,,,66600000.0,,,,3000000.0,,,,,,,,7700000.0,,,,7700000.0,,,,43300000.0,,,,58100000.0,,,,92500000.0,,,,172500000.0,,,,241400000.0,,,
DeferredTaxAssetsNet / USD,,,,117900000.0,,,,104200000.0,,,,110300000.0,,,,85200000.0,,,,62800000.0,,,,122900000.0,,,,177900000.0,,,,205600000.0,,,,250200000.0,,,,307600000.0,,,,386400000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,35000000.0,,,,45200000.0,,,,133400000.0,,,,227100000.0,,,,309500000.0,,,,419900000.0,,,,346300000.0,,,,386100000.0,,,,446000000.0,,,,492700000.0,,,,552400000.0,,,
DeferredTaxAssetsOther / USD,,,,300000.0,,,,1000000.0,,,,6200000.0,,,,5300000.0,,,,4200000.0,,,,700000.0,,,,800000.0,,,,1800000.0,,,,600000.0,,,,1800000.0,,,,1400000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits / USD,,,,51900000.0,,,,63300000.0,,,,65500000.0,,,,42000000.0,,,,29900000.0,,,,29100000.0,,,,31000000.0,,,,29900000.0,,,,24900000.0,,,,27800000.0,,,,36300000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,,8500000.0,,,,11100000.0,,,,12700000.0,,,,16000000.0,,,,12500000.0,,,,12800000.0,,,,14200000.0,,,,16400000.0,,,,12900000.0,,,,16000000.0,,,,24300000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,9700000.0,,,,5800000.0,,,,46900000.0,,,,50800000.0,,,,133300000.0,,,,225500000.0,,,,312900000.0,,,,357100000.0,,,,241000000.0,,,,259700000.0,,,,265500000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000.0,,,,21700000.0,,,,21000000.0,,,,23700000.0,,,,35700000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,900000.0,,,,2200000.0,,,,6700000.0,,,,6000000.0,,,,7400000.0,,,,6300000.0,,,,3800000.0,,,,5600000.0,,,,10300000.0,,,,8400000.0,,,,5500000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,7500000.0,,,,800000.0,,,,3900000.0,,,,4200000.0,,,,6000000.0,,,,500000.0,,,,2400000.0,,,,1400000.0,,,,1900000.0,,,,1800000.0,,,,3400000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,10200000.0,3300000.0,,10000000.0,10000000.0,4000000.0,,11000000.0,10000000.0,4000000.0,,5000000.0,5000000.0,5000000.0,,12000000.0,12000000.0,4000000.0,,3700000.0,3700000.0,3700000.0,,3600000.0,3600000.0,3600000.0
Depreciation / USD,,,,34300000.0,,,,36100000.0,,,,34500000.0,,,,36400000.0,,,,40900000.0,,,,40000000.0,,,,46200000.0,,,,47100000.0,,,,46500000.0,,,,45200000.0,,,,45700000.0,,,
