fact_unit,2018-06-07,2018-09-13,2018-12-06,2019-03-06,2019-06-05,2019-09-18,2019-12-06,2020-03-04,2020-06-03,2020-09-17,2020-12-08,2021-03-04,2021-06-03,2021-09-16,2021-12-08,2022-03-09,2022-06-09,2022-09-15,2022-12-07,2023-03-08,2023-06-07,2023-09-14,2023-12-06,2024-03-06,2024-06-07,2024-09-12,2024-12-05,2025-03-10,2025-05-29,2025-09-11,2025-11-25
AccountsPayableCurrent / USD,3763000.0,3763000.0,4895000.0,4895000.0,4895000.0,4895000.0,6208000.0,6208000.0,6208000.0,6208000.0,5233000.0,5233000.0,5233000.0,5233000.0,12547000.0,12547000.0,12547000.0,12547000.0,26154000.0,26154000.0,26154000.0,26154000.0,18481000.0,18481000.0,18481000.0,18481000.0,23309000.0,23309000.0,23309000.0,23309000.0,46906000.0
AccountsReceivableNetCurrent / USD,39052000.0,39052000.0,61611000.0,61611000.0,61611000.0,61611000.0,93341000.0,93341000.0,93341000.0,93341000.0,147584000.0,147584000.0,147584000.0,147584000.0,257109000.0,257109000.0,257109000.0,257109000.0,399745000.0,399745000.0,399745000.0,399745000.0,582636000.0,582636000.0,582636000.0,582636000.0,736529000.0,736529000.0,736529000.0,736529000.0,992181000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,,,,,,,,,,0.0,300000.0,442000.0,463000.0,2181000.0,-2605000.0,-5446000.0,-8600000.0,-50000.0,-2671000.0,-4662000.0,-5942000.0,-11715000.0,165000.0,1433000.0,3389000.0,-6580000.0,3199000.0,9582000.0,14584000.0,6582000.0,5003000.0
AccruedBonusesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,37417000.0,53452000.0,53452000.0,53452000.0,53452000.0,51598000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,7362000.0,8803000.0,8803000.0,8803000.0,8803000.0,9410000.0
AccruedSalariesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,44024000.0,47184000.0,47184000.0,47184000.0,47184000.0,61370000.0
AccruedSalesCommissionCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,47997000.0,51371000.0,51371000.0,51371000.0,51371000.0,59429000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,17304000.0,17304000.0,24401000.0,24401000.0,24401000.0,24401000.0,33737000.0,33737000.0,33737000.0,33737000.0,50628000.0,50628000.0,50628000.0,50628000.0,77217000.0,77217000.0,77217000.0,77217000.0,119117000.0,119117000.0,119117000.0,119117000.0,176424000.0,176424000.0,176424000.0,176424000.0,250311000.0,250311000.0,250311000.0,250311000.0,371776000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,0.0,-124000.0,-124000.0,-124000.0,-124000.0,268000.0,268000.0,268000.0,268000.0,463000.0,463000.0,463000.0,463000.0,-650000.0,-650000.0,-650000.0,-650000.0,-25850000.0,-25850000.0,-25850000.0,-25850000.0,-1576000.0,-1576000.0,-1576000.0,-1576000.0,-4789000.0,-4789000.0,-4789000.0,-4789000.0,8081000.0
AdditionalPaidInCapital / USD,18734000.0,18734000.0,438392000.0,438392000.0,438392000.0,438392000.0,532618000.0,532618000.0,532618000.0,532618000.0,823804000.0,823804000.0,823804000.0,823804000.0,1131006000.0,1131006000.0,1131006000.0,1131006000.0,1590885000.0,1590885000.0,1590885000.0,1590885000.0,1816915000.0,1816915000.0,1816915000.0,1816915000.0,2426819000.0,2426819000.0,2426819000.0,2426819000.0,2980591000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,7106000.0,3617000.0,1733000.0,3797000.0,7106000.0,9919000.0,7586000.0,20813000.0,34088000.0,11224000.0,19212000.0,44259000.0,72963000.0,46953000.0,58423000.0,120512000.0,181522000.0,125675000.0,91575000.0,192259000.0,299734000.0,263190000.0,107028000.0,216544000.0,329182000.0,416588000.0,131019000.0,274874000.0,391455000.0,453565000.0,165302000.0
AdvertisingExpense / USD,,1800000.0,,,,1800000.0,,,,3400000.0,,,,8600000.0,,,,11800000.0,,,,11800000.0,,,,22100000.0,,,,24000000.0,
AllocatedShareBasedCompensationExpense / USD,8336000.0,3617000.0,1733000.0,3797000.0,7106000.0,9919000.0,7586000.0,20813000.0,34088000.0,11224000.0,18376000.0,42242000.0,70012000.0,46423000.0,57185000.0,118565000.0,178538000.0,121395000.0,89903000.0,188891000.0,294745000.0,258535000.0,105173000.0,214911000.0,322730000.0,409562000.0,129138000.0,269570000.0,382806000.0,444834000.0,157178000.0
AmortizationOfFinancingCosts / USD,,,,,,,,,,247000.0,641000.0,1291000.0,1951000.0,247000.0,641000.0,1291000.0,1951000.0,247000.0,680000.0,1371000.0,2072000.0,2621000.0,972000.0,1945000.0,2919000.0,2783000.0,977000.0,1955000.0,2934000.0,3894000.0,
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,12690000.0,25572000.0,38648000.0,4885000.0,13476000.0,27156000.0,41043000.0,51923000.0,,,,55141000.0,977000.0,1955000.0,2934000.0,3894000.0,981000.0
AmortizationOfIntangibleAssets / USD,,,0.0,0.0,0.0,0.0,95000.0,239000.0,405000.0,0.0,779000.0,1421000.0,2062000.0,908000.0,1577000.0,3153000.0,4729000.0,3384000.0,2226000.0,4457000.0,6695000.0,6795000.0,2552000.0,5103000.0,8078000.0,9010000.0,3036000.0,6119000.0,9500000.0,11060000.0,4240000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,88455.0,84244.0,88301000.0,88621000.0,19793000.0,89447000.0,18789000.0,17178000.0,15652000.0,18851000.0,14489000.0,13795000.0,13518000.0,14048000.0,13760000.0,19989000.0,19976000.0,14554000.0,18290000.0,18023000.0,16921000.0,18569000.0,17627000.0,17334000.0,20516000.0,17750000.0,20141000.0,19632000.0,19057000.0,19466000.0,20619000.0
Assets / USD,182902000.0,182902000.0,447781000.0,447781000.0,447781000.0,447781000.0,604162000.0,604162000.0,604162000.0,604162000.0,1833458000.0,1833458000.0,1833458000.0,1833458000.0,2257631000.0,2257631000.0,2257631000.0,2257631000.0,2832665000.0,2832665000.0,2832665000.0,2832665000.0,3608317000.0,3608317000.0,3608317000.0,3608317000.0,4704968000.0,4704968000.0,4704968000.0,4704968000.0,6419888000.0
AssetsCurrent / USD,142909000.0,142909000.0,387164000.0,387164000.0,387164000.0,387164000.0,496086000.0,496086000.0,496086000.0,496086000.0,1581793000.0,1581793000.0,1581793000.0,1581793000.0,1848303000.0,1848303000.0,1848303000.0,1848303000.0,2256647000.0,2256647000.0,2256647000.0,2256647000.0,2890314000.0,2890314000.0,2890314000.0,2890314000.0,3396617000.0,3396617000.0,3396617000.0,3396617000.0,4894290000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,1000.0,1000.0,1000.0,1000.0,1000.0,462000.0,462000.0,462000.0,462000.0,907000.0,907000.0,907000.0,907000.0,255000.0,255000.0,255000.0,255000.0,16000.0,16000.0,16000.0,16000.0,51000.0,51000.0,51000.0,51000.0,1565000.0,1565000.0,1565000.0,1565000.0,1894000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,124000.0,124000.0,124000.0,124000.0,124000.0,78000.0,78000.0,78000.0,78000.0,328000.0,328000.0,328000.0,328000.0,163000.0,163000.0,163000.0,163000.0,11901000.0,11901000.0,11901000.0,11901000.0,10385000.0,10385000.0,10385000.0,10385000.0,1995000.0,1995000.0,1995000.0,1995000.0,1037000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,116897000.0,215368000.0,213194000.0,208501000.0,196046000.0,177892000.0,173815000.0,155408000.0,621952000.0,740385000.0,766043000.0,841863000.0,800659000.0,757847000.0,861066000.0,786434000.0,479597000.0,560556000.0,427636000.0,356348000.0,409026000.0,535738000.0,575536000.0,494507000.0,476116000.0,562736000.0,523117000.0,482882000.0,457832000.0,514123000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,116843000.0,215169000.0,213163000.0,208521000.0,196194000.0,178341000.0,174232000.0,156154000.0,622392000.0,740633000.0,766266000.0,842057000.0,800793000.0,757830000.0,860067000.0,783735000.0,476442000.0,555971000.0,423153000.0,353380000.0,406681000.0,532490000.0,572868000.0,492508000.0,475325000.0,562907000.0,523581000.0,483352000.0,458067000.0,515148000.0
CapitalizedComputerSoftwareAccumulatedAmortization / USD,,1000000.0,,,,1200000.0,,,,900000.0,,,,1000000.0,,,,1400000.0,800000.0,,,5900000.0,,,,13000000.0,,,,24200000.0,
CapitalizedComputerSoftwareGross / USD,,800000.0,,,,400000.0,,,,1800000.0,,,,3700000.0,,,,13200000.0,,,,16500000.0,,,,32700000.0,,,,48600000.0,
CapitalizedContractCostAmortization / USD,5992000.0,5515000.0,2868000.0,5932000.0,9354000.0,8474000.0,4324000.0,8781000.0,13505000.0,13181000.0,5535000.0,11425000.0,17673000.0,18651000.0,8678000.0,18123000.0,28577000.0,24922000.0,14912000.0,31038000.0,48793000.0,40558000.0,22325000.0,46053000.0,71368000.0,68531000.0,30111000.0,61504000.0,94711000.0,98718000.0,39068000.0
CapitalizedContractCostNet / USD,21137000.0,13150000.0,34662000.0,34662000.0,34662000.0,21137000.0,55910000.0,55910000.0,55910000.0,34662000.0,69785000.0,69785000.0,69785000.0,55910000.0,109915000.0,109915000.0,109915000.0,69785000.0,207030000.0,207030000.0,207030000.0,109915000.0,297002000.0,297002000.0,297002000.0,207030000.0,375234000.0,375234000.0,375234000.0,297002000.0,445398000.0
CapitalizedContractCostNetCurrent / USD,,,,,13753000.0,10469000.0,16387000.0,18058000.0,19391000.0,16136000.0,22060000.0,23527000.0,32240000.0,32240000.0,57373000.0,57373000.0,57373000.0,57373000.0,86210000.0,86210000.0,86210000.0,86210000.0,115827000.0,115827000.0,115827000.0,115827000.0,148873000.0,148873000.0,148873000.0,148873000.0,180819000.0
CapitalizedContractCostNetNoncurrent / USD,,,,,32755000.0,24193000.0,39591000.0,42543000.0,44714000.0,39774000.0,48366000.0,50523000.0,77675000.0,77675000.0,149657000.0,149657000.0,149657000.0,149657000.0,210792000.0,210792000.0,210792000.0,210792000.0,259407000.0,259407000.0,259407000.0,259407000.0,296525000.0,296525000.0,296525000.0,296525000.0,328722000.0
CashAndCashEquivalentsAtCarryingValue / USD,92842000.0,83842000.0,75760000.0,71569000.0,287443000.0,87978000.0,42786000.0,67467000.0,54974000.0,135579000.0,69346000.0,76534000.0,124592000.0,141851000.0,275898000.0,275898000.0,275898000.0,275898000.0,1013210000.0,1013210000.0,1013210000.0,1013210000.0,1262206000.0,1262206000.0,1262206000.0,1262206000.0,1423080000.0,1423080000.0,1423080000.0,1423080000.0,2389023000.0
CashAndCashEquivalentsFairValueDisclosure / USD,,104904000.0,104904000.0,104904000.0,104904000.0,104904000.0,,43874000.0,,106683000.0,106683000.0,106683000.0,106683000.0,106683000.0,178336000.0,178336000.0,178336000.0,178336000.0,692082000.0,692082000.0,692082000.0,692082000.0,1130659000.0,1130659000.0,1130659000.0,1130659000.0,1273594000.0,1273594000.0,1273594000.0,1273594000.0,1543609000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,88546000.0,88546000.0,88546000.0,93242000.0,136147000.0,136147000.0,136147000.0,88546000.0,78484000.0,78484000.0,78484000.0,136147000.0,141851000.0,141851000.0,141851000.0,78484000.0,275898000.0,275898000.0,275898000.0,141851000.0,1013210000.0,1013210000.0,1013210000.0,275898000.0,1262206000.0,1262206000.0,1262206000.0,1013210000.0,1423080000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,-12218000.0,-16409000.0,199465000.0,-4696000.0,-92883000.0,-68292000.0,-81173000.0,47601000.0,-9138000.0,-1950000.0,46108000.0,-57663000.0,-39835000.0,-46504000.0,-35261000.0,63367000.0,95798000.0,133921000.0,318995000.0,134047000.0,71735000.0,243802000.0,262087000.0,737312000.0,99517000.0,176380000.0,-3009000.0,248996000.0,130565000.0
CashEquivalentsAtCarryingValue / USD,,104905000.0,104905000.0,104905000.0,104905000.0,104905000.0,,43874000.0,,106684000.0,106684000.0,106684000.0,106684000.0,106684000.0,178336000.0,178336000.0,178336000.0,178336000.0,692188000.0,692188000.0,692188000.0,692188000.0,1130724000.0,1130724000.0,1130724000.0,1130724000.0,1273615000.0,1273615000.0,1273615000.0,1273615000.0,1543609000.0
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,-2900000.0,-7400000.0,-10200000.0,2100000.0,-1200000.0,5300000.0,2200000.0,2700000.0,-16000000.0,10100000.0,-6100000.0,4100000.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,,32055000.0,37636000.0,35111000.0,33453000.0,31751000.0,,,,34377000.0,,,,44048000.0,,,,47908000.0,,,,52327000.0,,,,56161000.0,,,,57158000.0,
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,130000000.0,130000000.0,1000000000.0,1000000000.0,1000000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,32359000.0,32359000.0,119764000.0,119764000.0,119764000.0,119764.0,127253.0,127253.0,127253.0,127253000.0,132817000.0,132817000.0,132817000.0,132817000.0,138662000.0,138662000.0,138662000.0,138662000.0,143038000.0,143038000.0,143038000.0,143038000.0,147169000.0,147169000.0,147169000.0,147169000.0,152490000.0,152490000.0,152490000.0,152490000.0,158301000.0
CommonStockSharesOutstanding / shares,32359000.0,32359000.0,119764000.0,119764000.0,119764000.0,119764.0,127253.0,127253.0,127253.0,127253000.0,132817000.0,132817000.0,132817000.0,132817000.0,138662000.0,138662000.0,138662000.0,138662000.0,143038000.0,143038000.0,143038000.0,143038000.0,147169000.0,147169000.0,147169000.0,147169000.0,152490000.0,152490000.0,152490000.0,152490000.0,158301000.0
CommonStockValue / USD,18000.0,18000.0,119000.0,119000.0,119000.0,119000.0,127000.0,127000.0,127000.0,127000.0,133000.0,133000.0,133000.0,133000.0,139000.0,139000.0,139000.0,139000.0,143000.0,143000.0,143000.0,143000.0,147000.0,147000.0,147000.0,147000.0,152000.0,152000.0,152000.0,152000.0,159000.0
ComprehensiveIncomeNetOfTax / USD,,-27438000.0,-11398000.0,-17913000.0,-26684000.0,-35460000.0,-7781000.0,-11078000.0,-23154000.0,-33770000.0,-16908000.0,-46007000.0,-65008000.0,-28263000.0,-55736000.0,-122538000.0,-180810000.0,-114921000.0,-92915000.0,-199870000.0,-316454000.0,-263142000.0,-80136000.0,-104802000.0,-145913000.0,-415478000.0,-49862000.0,-63385000.0,-56927000.0,-178061000.0,-11749000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,369800000.0,630600000.0,630600000.0,630600000.0,630600000.0,1021100000.0,1021100000.0,1021100000.0,1021100000.0,1439700000.0,1439700000.0,1439700000.0,1439700000.0,1895000000.0,1895000000.0,1895000000.0,1895000000.0,2468000000.0
ContractWithCustomerLiabilityCurrent / USD,85468000.0,85468000.0,140670000.0,140670000.0,140670000.0,140670000.0,221387000.0,221387000.0,221387000.0,221387000.0,337263000.0,337263000.0,337263000.0,337263000.0,571286000.0,571286000.0,571286000.0,571286000.0,923749000.0,923749000.0,923749000.0,923749000.0,1281143000.0,1281143000.0,1281143000.0,1281143000.0,1643919000.0,1643919000.0,1643919000.0,1643919000.0,2054417000.0
ContractWithCustomerLiabilityNoncurrent / USD,11151000.0,11151000.0,23353000.0,23353000.0,23353000.0,23353000.0,29815000.0,29815000.0,29815000.0,29815000.0,32504000.0,32504000.0,32504000.0,32504000.0,59315000.0,59315000.0,59315000.0,59315000.0,97374000.0,97374000.0,97374000.0,97374000.0,158533000.0,158533000.0,158533000.0,158533000.0,251055000.0,251055000.0,251055000.0,251055000.0,413609000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,51100000.0,40700000.0,34100000.0,58600000.0,75000000.0,58500000.0,53800000.0,68200000.0,125700000.0,85300000.0,84100000.0,148400000.0,193700000.0,143900000.0,127600000.0,228900000.0,298500000.0,220900000.0,206400000.0,378600000.0,502100000.0,335500000.0,329300000.0,603800000.0,802100000.0,570300000.0,462900000.0,840800000.0,1115100000.0,919900000.0,595200000.0
ConvertibleLongTermNotesPayable / USD,,,,,,,,,,0.0,861615000.0,861615000.0,861615000.0,861615000.0,913538000.0,913538000.0,913538000.0,913538000.0,968674000.0,968674000.0,968674000.0,968674000.0,1134159000.0,1134159000.0,1134159000.0,1134159000.0,,,,0.0,1700727000.0
ConvertibleNotesPayableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1142275000.0,1142275000.0,1142275000.0,1142275000.0,
CostOfRevenue / USD,19438000.0,,8271000.0,16950000.0,26374000.0,27472000.0,12099000.0,27370000.0,42330000.0,37875000.0,19558000.0,39796000.0,64375000.0,59669000.0,31727000.0,65862000.0,104839000.0,95733000.0,52169000.0,109952000.0,173974000.0,150317000.0,76697000.0,164301000.0,260150000.0,242282000.0,111394000.0,228593000.0,346924000.0,362832000.0,141462000.0
CurrentFederalTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,1091000.0,
CurrentForeignTaxExpenseBenefit / USD,,452000.0,,,,874000.0,,,,1480000.0,,,,2325000.0,,,,4013000.0,,,,7104000.0,,,,6996000.0,,,,14438000.0,
CurrentIncomeTaxExpenseBenefit / USD,,468000.0,,,,905000.0,,,,1478000.0,,,,2389000.0,,,,4058000.0,,,,7230000.0,,,,7395000.0,,,,19419000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,16000.0,,,,31000.0,,,,-2000.0,,,,64000.0,,,,45000.0,,,,126000.0,,,,399000.0,,,,3890000.0,
DebtInstrumentCarryingAmount / USD,,,,,,,,,,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1150000000.0,1149995000.0,1149995000.0,1149995000.0,1149995000.0,1149993000.0,1149993000.0,1149993000.0,1149993000.0,1149954000.0,1149954000.0,1149954000.0,,
DebtInstrumentConvertibleNumberOfEquityInstruments / segment,,,,,,,,,,7600000.0,7600000.0,,,,,,,,,,,,,,,,,,,7600000.0,
DebtInstrumentConvertibleNumberOfEquityInstruments / shares,,,,,,,,,,7626000.0,7626000.0,7626000.0,7626000.0,7626000.0,7600000.0,7600000.0,7600000.0,7626000.0,7630000.0,7630000.0,7630000.0,7626000.0,7600000.0,7600000.0,7600000.0,7626000.0,7600000.0,7600000.0,7600000.0,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
DebtSecuritiesAvailableForSaleAmortizedCostAllowanceForCreditLossExcludingAccruedInterest / USD,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,
DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,1226562000.0,730014000.0,730014000.0,730014000.0,730014000.0,848360000.0,848360000.0,848360000.0,848360000.0,987004000.0,987004000.0,987004000.0,987004000.0,1182529000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,0.0,0.0,18356000.0,18356000.0,18356000.0,18356000.0,5502000.0,5502000.0,5502000.0,5502000.0,0.0,0.0,0.0,0.0,121261000.0,121261000.0,121261000.0,121261000.0,214129000.0,214129000.0,214129000.0,214129000.0,247808000.0,247808000.0,247808000.0,247808000.0,0.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,0.0,0.0,16000.0,16000.0,16000.0,16000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,2553000.0,2553000.0,2553000.0,2553000.0,6184000.0,6184000.0,6184000.0,6184000.0,1750000.0,1750000.0,1750000.0,1750000.0,0.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,157016000.0,157016000.0,56548000.0,56548000.0,56548000.0,56548000.0,794415000.0,794415000.0,794415000.0,794415000.0,568898000.0,568898000.0,568898000.0,568898000.0,467471000.0,467471000.0,467471000.0,467471000.0,525638000.0,525638000.0,525638000.0,525638000.0,299157000.0,299157000.0,299157000.0,299157000.0,553333000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,124000.0,124000.0,62000.0,62000.0,62000.0,62000.0,327000.0,327000.0,327000.0,327000.0,163000.0,163000.0,163000.0,163000.0,9348000.0,9348000.0,9348000.0,9348000.0,4201000.0,4201000.0,4201000.0,4201000.0,245000.0,245000.0,245000.0,245000.0,1037000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent / USD,,,,,,,,,,,,,,,,,,1226654000.0,718129000.0,718129000.0,718129000.0,718129000.0,838026000.0,838026000.0,838026000.0,838026000.0,986574000.0,986574000.0,986574000.0,986574000.0,1183386000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,157016000.0,157016000.0,74904000.0,74904000.0,74904000.0,74904000.0,799917000.0,799917000.0,799917000.0,799917000.0,568898000.0,568898000.0,568898000.0,568898000.0,588732000.0,588732000.0,588732000.0,588732000.0,739767000.0,739767000.0,739767000.0,739767000.0,546965000.0,546965000.0,546965000.0,546965000.0,553333000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,,,,124000.0,124000.0,78000.0,78000.0,78000.0,78000.0,328000.0,328000.0,328000.0,328000.0,163000.0,163000.0,163000.0,163000.0,11901000.0,11901000.0,11901000.0,11901000.0,10385000.0,10385000.0,10385000.0,10385000.0,1995000.0,1995000.0,1995000.0,1995000.0,1037000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,-1431000.0,,,,-864000.0,,,,-349000.0,,,,-858000.0,,,,0.0,
DeferredFinanceCostsNet / USD,,,,,,,,,,19500000.0,19500000.0,19500000.0,19500000.0,19500000.0,11935000.0,11935000.0,11935000.0,19500000.0,9152000.0,9152000.0,9152000.0,19500000.0,7528000.0,7528000.0,7528000.0,19500000.0,3614000.0,3614000.0,3614000.0,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,0.0,,,,-28000.0,,,,-141000.0,,,,-108000.0,,,,-563000.0,,,,-2027000.0,,,,296000.0,,,,352000.0,
DeferredIncomeTaxExpenseBenefit / USD,,0.0,,,,-28000.0,0.0,,0.0,-141000.0,,,,-1646000.0,,,,-1670000.0,,,,-2379000.0,,,,-747000.0,,,,352000.0,
DeferredIncomeTaxLiabilities / USD,,12331000.0,,,,12561000.0,,,,17173000.0,,,,97131000.0,,,,112712000.0,,,,129085000.0,,,,118663000.0,,,,148462000.0,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,-107000.0,,,,-243000.0,,,,-3000.0,,,,-185000.0,,,,0.0,
DeferredTaxAssetsDeferredIncome / USD,,5436000.0,,,,6071000.0,,,,14752000.0,,,,27123000.0,,,,33028000.0,,,,69511000.0,,,,122326000.0,,,,181654000.0,
DeferredTaxAssetsGross / USD,,63852000.0,,,,58280000.0,,,,121162000.0,,,,227846000.0,,,,459168000.0,,,,683222000.0,,,,790693000.0,,,,982974000.0,
DeferredTaxAssetsLiabilitiesNet / USD,,28000.0,,,,141000.0,,,,257000.0,,,,479000.0,,,,700000.0,,,,221000.0,,,,649000.0,,,,604000.0,
DeferredTaxAssetsNet / USD,,12359000.0,,,,12702000.0,,,,17430000.0,,,,97610000.0,,,,113412000.0,,,,129306000.0,,,,119312000.0,,,,149066000.0,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,54130000.0,,,,41794000.0,,,,87413000.0,,,,149430000.0,,,,341777000.0,,,,487298000.0,,,,401261000.0,,,,373611000.0,
DeferredTaxAssetsOther / USD,,569000.0,,,,347000.0,,,,232000.0,,,,33000.0,,,,2015000.0,,,,58141000.0,,,,75641000.0,,,,100930000.0,
